era_id,era_label,era_start,era_end,era_eon,era_desc,era_color,era_colorLight,era_above,era_img,era_imgCredit,era_imgDesc,period_name,period_start,period_end,period_desc,period_img,period_imgCredit,period_imgDesc,epoch_name,epoch_start,epoch_end,epoch_desc,epoch_img,epoch_imgCredit,epoch_imgDesc,period_flora,period_atmo,period_temp,period_earth,era_flora,era_atmo,era_temp,era_earth,epoch_flora,epoch_atmo,epoch_temp,epoch_earth
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Quaternary,0,2.6,"Repeated ice ages locked huge volumes of water into continental ice sheets, repeatedly dropping sea levels and exposing land bridges between continents that let animals and eventually humans migrate into new territory. As the ice sheets advanced and retreated in cycles, grasslands and tundra spread across regions that had been forest, favoring large grazing mammals adapted to open, cold landscapes over the browsing species that came before them. Modern humans emerged during this period and, through hunting and later farming, became a new kind of force reshaping which other species could survive alongside them.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Woolly_mammoths.jpg&width=320,"Charles R. Knight, 1915 — Public domain",Woolly mammoths — classic Ice Age reconstruction painting,Holocene,0,0.012,"As the last ice age ended, retreating glaciers raised sea levels and ushered in a stable, warm interglacial climate that let forests and grasslands recolonize the land. That climatic stability gave early humans, who had survived for millennia as nomadic hunter-gatherers, a predictable growing season, and this predictability drove the domestication of wild grasses and animals into the first crops and livestock. Farming produced surplus food, which let people settle permanently, build villages, and free up labor for specialized crafts, laying the foundations of civilization. Within just the last two centuries, that same civilization began burning stored carbon at a rate that is now itself the dominant force reshaping global climate.",,,Çatalhöyük — Neolithic farming settlement,"Woolly mammoths, giant ground sloths, cave lions and saber toothed cats roamed alongside early Homo sapiens.","Oxygen and CO2 near modern levels, though CO2 dipped lower during glacial peaks.",Cycled repeatedly between deep ice ages and warmer interglacial periods like today.,Continents sat in roughly their modern positions; ice sheets rather than plate motion drove most environmental change.,,,,,"Domesticated einkorn wheat and barley, along with sheep and cattle descended from wild aurochs, sustained early farming villages like Çatalhöyük.",Atmospheric CO2 held near 280 ppm for most of the epoch before human industry pushed it past 420 ppm in just the last two centuries.,"A stable, mild interglacial climate prevailed for most of the epoch, though the last century has seen rapid, human-driven warming.","Sea levels rose over 120 meters as ice sheets melted, drowning land bridges like Doggerland and the Bering Strait crossing and reshaping coastlines into their modern outlines."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Quaternary,0,2.6,"Repeated ice ages locked huge volumes of water into continental ice sheets, repeatedly dropping sea levels and exposing land bridges between continents that let animals and eventually humans migrate into new territory. As the ice sheets advanced and retreated in cycles, grasslands and tundra spread across regions that had been forest, favoring large grazing mammals adapted to open, cold landscapes over the browsing species that came before them. Modern humans emerged during this period and, through hunting and later farming, became a new kind of force reshaping which other species could survive alongside them.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Woolly_mammoths.jpg&width=320,"Charles R. Knight, 1915 — Public domain",Woolly mammoths — classic Ice Age reconstruction painting,Pleistocene,0.012,2.6,"Cyclical wobbles in Earth's orbit locked the planet into repeated ice ages, as vast ice sheets advanced and retreated across the northern continents roughly every hundred thousand years. Each glaciation opened huge, cold, dry grasslands, the mammoth steppe, that favored large, fur covered grazers and the big predators that hunted them, while lowered sea levels exposed land bridges that let animals and early humans wander between continents. Hunting and toolmaking grew steadily more sophisticated among early human populations, letting them spread out of Africa and into nearly every landmass exposed by the ice age. When the last glaciation ended and the climate warmed rapidly, shrinking grasslands combined with pressure from increasingly effective human hunters to drive most of the era's giant mammals extinct.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Ice_age_fauna_of_northern_Spain_-_Mauricio_Ant%C3%B3n.jpg&width=320,Mauricio Antón — CC BY 2.5,"Woolly mammoths, rhinos, horses, and cave lions roamed.","Woolly mammoths, giant ground sloths, cave lions and saber toothed cats roamed alongside early Homo sapiens.","Oxygen and CO2 near modern levels, though CO2 dipped lower during glacial peaks.",Cycled repeatedly between deep ice ages and warmer interglacial periods like today.,Continents sat in roughly their modern positions; ice sheets rather than plate motion drove most environmental change.,,,,,"Woolly mammoths, woolly rhinoceroses, cave lions, and wild horses roamed the mammoth steppe grasslands.","CO2 oscillated between roughly 180 ppm during glacial maxima and 280 ppm in warm interludes, well below today's levels throughout.","Temperatures swung repeatedly between deep glacial cold and brief warm interglacials, averaging colder than today's climate overall.","Falling sea levels during glacial peaks exposed the Bering land bridge and the Sunda Shelf in Southeast Asia, opening migration routes between continents that are submerged today."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Neogene,2.6,23,"Grasslands expanded across the cooling, drying continents as forests retreated, and that spread of open grazing land rewarded mammals that could run fast on long legs and grind tough grasses with high crowned teeth. Those pressures split many lineages into distinct grazing and browsing forms and, in Africa, pushed one group of apes toward walking upright on two legs to cover open ground efficiently. Deep ocean channels also connected and closed as continents shifted, letting marine mammals spread into new oceans while isolating others.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Megatherium_NT_small.jpg&width=320,"Nobu Tamura, 2016 — CC BY-SA 4.0","Megatherium, giant ground sloth, life reconstruction",Pliocene,2.6,5.3,"Global cooling and drying, intensified as the rising Isthmus of Panama rerouted ocean currents and dried out Africa, caused dense forests to shrink into scattered patches of open savanna and woodland. That spreading grassland put a premium on primates able to travel efficiently between shrinking food sources on the ground, favoring early hominins that walked upright over ones still built for climbing. Freed from supporting locomotion, their hands could grip and manipulate objects with increasing precision, and by the epoch's final million years some hominin groups began deliberately flaking stone into simple cutting tools. That combination of upright walking and toolmaking set the stage for the rapid brain growth and technological change that would follow in the next epoch.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Australopithecus_anamensis_skull.png&width=320,Wikimedia Commons — Public domain,Australopithecus anamensis — earliest known hominin,"Giant ground sloths, early horses, and the first upright walking hominins like Australopithecus appeared.",Oxygen and CO2 approaching modern levels as global cooling continued.,"Steadily cooling and drying, ending the warm greenhouse conditions of earlier periods.","The Isthmus of Panama began rising, and the Himalayas continued growing as India pushed into Asia.",,,,,Australopithecus anamensis and its later descendant Australopithecus afarensis walked the African savanna alongside saber-toothed cats like Homotherium.,"CO2 started near 400 ppm, comparable to today, then gradually declined through the epoch as global cooling took hold.","Climate began mild and warm, a few degrees above today's average, before cooling sharply in the epoch's final stretch as ice ages approached.","The Isthmus of Panama rose fully out of the sea, closing the gap between the Atlantic and Pacific and letting land animals cross between North and South America for the first time in tens of millions of years."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Neogene,2.6,23,"Grasslands expanded across the cooling, drying continents as forests retreated, and that spread of open grazing land rewarded mammals that could run fast on long legs and grind tough grasses with high crowned teeth. Those pressures split many lineages into distinct grazing and browsing forms and, in Africa, pushed one group of apes toward walking upright on two legs to cover open ground efficiently. Deep ocean channels also connected and closed as continents shifted, letting marine mammals spread into new oceans while isolating others.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Megatherium_NT_small.jpg&width=320,"Nobu Tamura, 2016 — CC BY-SA 4.0","Megatherium, giant ground sloth, life reconstruction",Miocene,5.3,23,"Continued global cooling and the ongoing collision of India into Asia pushed the Himalayas and Tibetan Plateau ever higher, intensifying monsoon patterns that dried out much of the interior and let fast growing, abrasive grasses spread across the continents. Grazing mammals responded by evolving taller, harder teeth suited to grinding down tough grass, thriving as open grassland replaced forest across large parts of Africa and Eurasia. As forests fragmented into isolated patches, tree dwelling apes diversified into many species adapted to whatever woodland remained, radiating widely across Africa, Europe, and Asia. Late in the epoch, further shrinking and splitting of African forest habitat isolated one ape population from another, setting them down separate evolutionary paths that would eventually lead to humans and chimpanzees.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Proconsul_africanus.jpg&width=320,Mauricio Antón — CC BY 2.5,"Apes evolved and diversified, with the human–chimp lineage splitting late.","Giant ground sloths, early horses, and the first upright walking hominins like Australopithecus appeared.",Oxygen and CO2 approaching modern levels as global cooling continued.,"Steadily cooling and drying, ending the warm greenhouse conditions of earlier periods.","The Isthmus of Panama began rising, and the Himalayas continued growing as India pushed into Asia.",,,,,"Ancestral apes like Proconsul, Sivapithecus, and Dryopithecus diversified widely across Africa and Eurasia.","CO2 declined gradually across the epoch, from around 400 ppm early on to near modern pre-industrial levels by its end.","An early warm phase, the Miocene Climatic Optimum, gave way to steady cooling and drying through the rest of the epoch.","Continued collision between India and Asia kept lifting the Himalayas and Tibetan Plateau, while at the epoch's very end the closing Strait of Gibraltar dried the Mediterranean Sea into a vast salt basin during the Messinian Salinity Crisis."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Paleogene,23,66,"With the dinosaurs gone, small surviving mammals suddenly found forests and open ground free of large predators and competitors, and within a few million years they radiated into an enormous range of new forms, from early primates to the ancestors of whales and horses. Warm, humid greenhouse conditions early in the period let dense forests spread even near the poles, but a shift toward a cooler, drier climate later on began carving those forests back into open woodland. Birds, too, briefly grew into giant flightless predators before mammals took over the top predator role for good.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Andrewsarchus_DB.jpg&width=320,"Dmitry Bogdanov, 2006 — Public domain","Andrewsarchus mongoliensis, giant mammalian predator, restoration",Oligocene,23,33.9,"As Antarctica finally drifted free of South America, the Drake Passage opened and let a continuous current encircle the pole, thermally isolating Antarctica from warmer waters further north. That isolation let a permanent ice sheet build up on Antarctica for the first time, and the resulting global cooling dried out continental interiors, shrinking dense forests into more open woodland and early grassland. Cooler, more seasonal conditions favored mammals with more adaptable teeth and larger brains over the primitive, big jawed carnivorous mammals that had dominated since the dinosaurs died out. Those older specialist hunters gradually died out and were replaced by more versatile early carnivore groups better suited to the changing, more open landscape.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Dinictis_and_Protoceras.jpg&width=320,Nobu Tamura — CC BY 3.0,"Dogs, nimravids, bears, weasels, and raccoons replaced the creodonts.","Early primates, the giant predatory bird Gastornis, and Andrewsarchus, the largest land predator ever, all thrived.","CO2 started far above modern levels, then declined sharply as the period wore on.","Began in an extreme warm hothouse phase, then cooled steadily through the rest of the period.","India collided with Asia partway through the period, beginning to push up the Himalayas.",,,,,"Early dog-like Hesperocyon, saber-toothed Nimravus, and the first true bears and weasels spread as forests opened into grassland.","CO2 fell sharply across the epoch, dropping from roughly 750 ppm to near 450 ppm, still well above today's level.","Global temperatures dropped sharply at the epoch's start, the first time since the dinosaur extinction that permanent ice built up anywhere on Earth.","The opening of the Drake Passage between South America and Antarctica, along with a widening Tasmanian Gateway, completed the Southern Ocean's circumpolar current and sealed Antarctica into permanent isolation."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Paleogene,23,66,"With the dinosaurs gone, small surviving mammals suddenly found forests and open ground free of large predators and competitors, and within a few million years they radiated into an enormous range of new forms, from early primates to the ancestors of whales and horses. Warm, humid greenhouse conditions early in the period let dense forests spread even near the poles, but a shift toward a cooler, drier climate later on began carving those forests back into open woodland. Birds, too, briefly grew into giant flightless predators before mammals took over the top predator role for good.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Andrewsarchus_DB.jpg&width=320,"Dmitry Bogdanov, 2006 — Public domain","Andrewsarchus mongoliensis, giant mammalian predator, restoration",Eocene,33.9,56,"A massive, rapid release of carbon at the epoch's start drove the Paleocene-Eocene Thermal Maximum, spiking temperatures and turning much of the planet, even near the poles, into warm, dense rainforest. That lush, continuous greenhouse world let land bridges across the North Atlantic connect North America and Europe, allowing early hoofed mammals to spread and radiate rapidly into the many new forest niches such warmth created. As those hoofed lineages diversified into browsers, runners, and swimmers, some even ventured back into shallow coastal waters, setting one lineage on its evolutionary path from land mammal to ocean dweller. Toward the epoch's end, slow removal of atmospheric carbon by rock weathering and organic burial finally began cooling the planet, setting up the sharp chill that would follow in the next epoch.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Eohippus.jpg&width=320,Wikimedia Commons — Public domain,Hoofed animals diversified in a major radiation between Europe and North America.,"Early primates, the giant predatory bird Gastornis, and Andrewsarchus, the largest land predator ever, all thrived.","CO2 started far above modern levels, then declined sharply as the period wore on.","Began in an extreme warm hothouse phase, then cooled steadily through the rest of the period.","India collided with Asia partway through the period, beginning to push up the Himalayas.",,,,,Small early horses like Eohippus and early whales such as Basilosaurus radiated as forests spread across a warm planet.,CO2 surged past 1000 ppm during the Paleocene-Eocene Thermal Maximum and stayed several times higher than today for most of the epoch.,"This was the warmest sustained stretch of the entire Cenozoic era, with even polar regions warm enough to support crocodiles and palm trees.","Land bridges across the North Atlantic via Greenland still linked North America and Europe before finally rifting apart, while India's northward drift brought it into its first collision with Asia partway through the epoch."
cenozoic,Cenozoic,0,66,Phanerozoic,Rise of mammals and flowering plants.,#e8b96a,#f7e4bb,false,,,,Paleogene,23,66,"With the dinosaurs gone, small surviving mammals suddenly found forests and open ground free of large predators and competitors, and within a few million years they radiated into an enormous range of new forms, from early primates to the ancestors of whales and horses. Warm, humid greenhouse conditions early in the period let dense forests spread even near the poles, but a shift toward a cooler, drier climate later on began carving those forests back into open woodland. Birds, too, briefly grew into giant flightless predators before mammals took over the top predator role for good.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Andrewsarchus_DB.jpg&width=320,"Dmitry Bogdanov, 2006 — Public domain","Andrewsarchus mongoliensis, giant mammalian predator, restoration",Paleocene,56,66,"The asteroid impact that ended the age of dinosaurs left most of the planet's large ecological niches suddenly empty, while small, burrowing, generalist mammals that had survived the disaster on scraps of insects and seeds were left to inherit the wreckage. With almost no competition from large predators or herbivores, those surviving mammal lineages diversified rapidly, growing larger and specializing into new diets and habitats within just a few million years. As forests recovered from the destruction, some mammals moved into the trees to exploit fruit, insects, and shelter above the ground, adapting grasping hands and forward facing eyes suited to life in the branches. That arboreal lifestyle produced the earliest primates, setting mammals on a path of diversification that would define the rest of the Cenozoic.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Purgatorius_BW.jpg&width=320,Nobu Tamura — CC BY 3.0,Purgatorius — earliest known primate,"Early primates, the giant predatory bird Gastornis, and Andrewsarchus, the largest land predator ever, all thrived.","CO2 started far above modern levels, then declined sharply as the period wore on.","Began in an extreme warm hothouse phase, then cooled steadily through the rest of the period.","India collided with Asia partway through the period, beginning to push up the Himalayas.",,,,,"Purgatorius, the earliest known primate, foraged in the recovering forests alongside early hoofed mammals like Phenacodus.","CO2 remained elevated at several times today's level, helping keep the recovering world warm.","Climate warmed steadily through the epoch, building toward the extreme heat spike that would mark its very end.","India, isolated as a fast moving island continent, sped northward across the shrinking Tethys Sea, while lingering volcanism from the Deccan Traps continued to alter the atmosphere in the epoch's early years."
mesozoic,Mesozoic,66,251,Phanerozoic,Age of dinosaurs. First birds appear.,#a89fd8,#ddd8f4,true,,,,Cretaceous,66,146,"Flowering plants evolved and spread rapidly, replacing the ferns and conifers that had dominated for over 100 million years, and their fast growth, fruit, and nectar drove a burst of co-evolution, fueling the rise of pollinating insects and diversifying plant eating dinosaurs and the predators that hunted them into the most varied ecosystem the Mesozoic had ever seen. That entire web collapsed in an instant when a large asteroid struck the Yucatan 66 million years ago, blotting out the sun long enough to kill off the plants at the base of the food chain and, with them, every dinosaur that could not fly.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Triceratops_and_Tyrannosaurus_by_Knight.jpg&width=320,"Charles R. Knight, c. 1928 — Public domain",Triceratops confronting Tyrannosaurus — iconic Late Cretaceous scene,Late Cretaceous,66,100.5,"Flowering plants continued spreading across the landscape, supporting new insect pollinators and offering fresh food sources that let plant eating dinosaurs diversify into a wide range of specialized grazers and browsers. This abundance of prey in turn supported some of the largest land predators to ever evolve, while horned and duck billed dinosaur groups reached their greatest diversity worldwide. Then a massive asteroid struck the Earth, throwing debris and dust into the atmosphere that blocked sunlight, collapsed food chains, and abruptly ended the reign of the non avian dinosaurs alongside most other life on the planet.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Impact_event.jpg&width=320,Don Davis / NASA — Public domain,"K–Pg extinction wiped out ~75–80% of species, including all non-avian dinosaurs.","Flowering magnolias and early oaks spread alongside Triceratops, duck billed hadrosaurs, and Tyrannosaurus.",CO2 several times higher than today; oxygen around 28-30%.,"Warm greenhouse climate, with no polar ice caps for most of the period.","Pangaea's breakup continued as the Atlantic widened, splitting continents into isolated landmasses that let dinosaur groups evolve independently region by region.",,,,,"Tyrannosaurus, Triceratops, Ankylosaurus, and Hadrosaurus flourished right up until the mass extinction ended their reign.",CO2 stood several times higher than today until the impact's aftermath filled the skies with dust and disrupted the carbon cycle.,"Warm greenhouse conditions prevailed for most of the epoch, followed by a sharp, sudden post impact cooling at its very end.",A massive asteroid struck the Yucatan Peninsula while the Deccan Traps in India were simultaneously erupting enormous lava flows.
mesozoic,Mesozoic,66,251,Phanerozoic,Age of dinosaurs. First birds appear.,#a89fd8,#ddd8f4,true,,,,Cretaceous,66,146,"Flowering plants evolved and spread rapidly, replacing the ferns and conifers that had dominated for over 100 million years, and their fast growth, fruit, and nectar drove a burst of co-evolution, fueling the rise of pollinating insects and diversifying plant eating dinosaurs and the predators that hunted them into the most varied ecosystem the Mesozoic had ever seen. That entire web collapsed in an instant when a large asteroid struck the Yucatan 66 million years ago, blotting out the sun long enough to kill off the plants at the base of the food chain and, with them, every dinosaur that could not fly.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Triceratops_and_Tyrannosaurus_by_Knight.jpg&width=320,"Charles R. Knight, c. 1928 — Public domain",Triceratops confronting Tyrannosaurus — iconic Late Cretaceous scene,Early Cretaceous,100.5,146,"The first flowering plants appeared and began to spread, introducing new sources of nectar, fruit, and foliage that reshaped plant communities and encouraged insects to diversify alongside them. As river deltas and shallow seas teemed with fish, some large predatory dinosaurs evolved long narrow snouts and semi aquatic habits to exploit this abundant food source, while horned plant eating dinosaurs and small feathered hunters radiated into many new forms across the changing landscape. Continents now clearly separated by widening seaways allowed many of these groups to evolve independently in different parts of the world.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Spinosaurus_BW.jpg&width=320,Nobu Tamura — CC BY 3.0,"Spinosaurids (shown here), Ceratopsians, Carcharodontosaurids and Coelurosaurs emerged.","Flowering magnolias and early oaks spread alongside Triceratops, duck billed hadrosaurs, and Tyrannosaurus.",CO2 several times higher than today; oxygen around 28-30%.,"Warm greenhouse climate, with no polar ice caps for most of the period.","Pangaea's breakup continued as the Atlantic widened, splitting continents into isolated landmasses that let dinosaur groups evolve independently region by region.",,,,,"Spinosaurus, Iguanodon, Deinonychus, and the early ceratopsian Psittacosaurus thrived across different continents.","CO2 levels ran markedly higher than today, several times preindustrial concentrations.","Generally warm and mild with no polar ice caps, though somewhat cooler than the preceding Jurassic.",The South Atlantic began to open as South America and Africa continued rifting apart from one another.
mesozoic,Mesozoic,66,251,Phanerozoic,Age of dinosaurs. First birds appear.,#a89fd8,#ddd8f4,true,,,,Jurassic,146,200,"As the breakup of Pangaea opened shallow seaways between the drifting continents, sauropod dinosaurs grew to enormous sizes to browse the tall conifer and cycad forests that thrived in the warm, humid climate, while smaller predators evolved feathers, setting one lineage on a path toward true flight. Marine reptiles that had returned to the ocean diversified alongside newly abundant squid like ammonites, and by the period's end, the first true birds had taken to the air.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Brontosaurus_Excelsus.jpg&width=320,"Charles R. Knight, 1897 — Public domain",Brontosaurus — long-necked sauropod,Late Jurassic,146,163.5,"Vast conifer forests and fern plains provided so much foliage that sauropod dinosaurs evolved to enormous sizes in order to browse treetops that smaller herbivores could not reach, and this abundance of giant prey favored the evolution of powerful, large bodied predatory dinosaurs. In response to constant predation pressure, some plant eating dinosaurs evolved heavy body armor and defensive spikes, while a separate lineage of small meat eating dinosaurs refined feathers that had originally evolved for insulation or display into structures capable of gliding and, eventually, powered flight. By the end of the epoch, this lineage had given rise to the first true birds taking wing above the forests.",https://commons.wikimedia.org/w/index.php?title=Special:FilePath&file=Carnotaurus_Reconstruction_(2022).png&width=320,H. Raab — CC BY-SA 3.0,"Theropods (shown here), Sauropods and Thyreophorans emerged.","Giant sauropods, early feathered theropods, ichthyosaurs, and abundant ammonites filled land and sea.",CO2 remained well above modern levels; oxygen slightly below today's.,"Warm and humid worldwide, with lush forests reaching high latitudes.","Pangaea actively split into northern and southern landmasses, opening new shallow seas between them.",,,,,"Archaeopteryx, Stegosaurus, Diplodocus, and Allosaurus all lived alongside one another.","CO2 remained well above modern levels, sustaining the lush forests that fed the giant herbivores.","Warm and humid globally, with little seasonal variation and no polar ice.",The Atlantic Ocean began to open as North America started separating from Africa.
